RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
UNIMED DE BAURU COOPERATIVA DE TRABALHO MÉDICO;SP;4919421982.6;9460426.89;36270766.43
UNIMED SERGIPE - COOPERATIVA DE TRABALHO MÉDICO;SE;4841825405.67;17169593.64;52586095.25
UNIMED JUIZ DE FORA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;4828669791.9;12318035.18;41160976.48
UNIMED DE CASCAVEL COOPERATIVA DE TRABALHO MÉDICO;PR;4799701734.3;15999005.78;47487271.28
PASA - PLANO DE ASSISTENCIA A SAUDE DO APOSENTADO DA VALE;RJ;4460775530.05;26711230.72;74642350.43
UNIMED SÃO CARLOS - COOPERATIVA DE TRABALHO MÉDICO;SP;4186002585.51;17812776.96;49845295.89
UNIMED DE PRESIDENTE PRUDENTE COOPERATIVA DE TRAB. MÉDICO;SP;4016124427.18;12472436.11;39926570.14
ASSOCIAÇÃO SANTA CASA SAÚDE DE SÃO JOSÉ DOS CAMPOS;SP;3946754778.8;30834021.71;81357757.54
UNIMED DE MACAÉ COOPERATIVA DE ASSISTÊNCIA À SAÚDE;RJ;3897573947.58;14382191.69;39592757.57
UNIMED NORTE DO MATO GROSSO COOPERATIVA DE TRABALHO MÉDICO;MT;3761768593.44;16426937.09;46300251.36
ALICE OPERADORA LTDA.;SP;3682253596.56;31205538.95;57665291.35
UNIMED JUNDIAI - COOPERATIVA DE TRABALHO MÉDICO;SP;3634213629.54;13215322.29;41063511.69
UNIMED VALE DO SINOS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;3632358103.43;14244541.58;42659905.22
UNIMED DE VOLTA REDONDA COOPERATIVA DE TRABALHO MÉDICO;RJ;3630657397.75;15319229.53;42773859.88
HUMANA SAÚDE LTDA.;PR;3525330777.32;12413136.54;33986938.1
UNIMED CARUARU-COOPERATIVA DE TRABALHO MEDICO;PE;3479944897.37;17313158.69;46712564.09
