RazaoSocial;UF;TotalDespesa;MediaTrimestral;DesvioPadrao
UNIMED CABO FRIO COOPERATIVA TRABALHO MÉDICO LTDA.;RJ;716370826.55;4264112.06;9383164.4
UNIMED DE LINS - COOPERATIVA DE TRABALHOS MÉDICOS;SP;708588028.48;2845735.05;7487041.5
ESMALE ASSISTENCIA INTERNACIONAL DE SAUDE LTDA.;AL;703204484.39;9015442.11;14849101.02
VIVACOM PLANOS DE SAÚDE;GO;700409625.81;4350370.35;10269926.09
PARANA ASSISTENCIA MEDICA LTDA;PR;682738333.91;3574546.25;8883872.57
UNIMED EXTREMO OESTE CATARINENSE COOPERATIVA DE TRABALHO MÉDICO;SC;678498353.26;2458327.37;6687789.48
SULMED - ASSISTÊNCIA MÉDICA LTDA;RS;663491092.51;4365072.98;11750128.23
IRMANDADE DA SANTA CASA DE MISERICORDIA DE LIMEIRA;SP;658019491.03;5181255.83;11603470.18
UNIODONTO DE CAMPINAS COOPERATIVA ODONTOLÓGICA;SP;656803497.78;8420557.66;14759189.68
UNIMED MURIAÉ COOPERATIVA DE TRABALHO MEDICO LTDA;MG;652293598.95;5017643.07;11090509.78
UNIMED NORTE PIONEIRO - COOPERATIVA DE TRABALHO MÉDICO;PR;651746460.61;3179251.03;7791602.46
UNIMED DE GUARATINGUETA-COOPERATIVA DE TRABALHO MÉDICO;SP;634867671.51;4176761.0;9219264.81
FUNDACAO LEONOR DE BARROS CAMARGO;SP;633109725.27;6807631.45;13666688.66
UNIMED VALE DAS ANTAS, RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;624845813.76;2801999.16;6654548.59
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE;SP;622244073.39;2067256.06;5404825.3
UNIMED LAVRAS COOPERATIVA DE TRABALHO MÉDICO;MG;620410537.24;2117442.11;6700367.85
UNIMED ALTA MOGIANA COOPERATIVA DE TRABALHO MÉDICO;SP;606731534.38;3003621.46;7273272.35
PLAMED PLANO DE ASSISTENCIA MEDICA LTDA;SE;606514174.42;8086855.66;15834347.63
BEST SENIOR OPERADORA DE SAÚDE LTDA;ES;603928676.29;5644193.24;11784169.39
MATÃO CLINICAS & AMHMA SAÚDE LTDA;SP;599467678.78;4473639.39;10087064.72
UNIMED SUL PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;589365247.53;2642893.49;7182897.89
ASSOCIAÇÃO DE SAÚDE DO VALE;SC;586454831.1;6108904.49;11625108.65
ASSOCIAÇÃO DE SAÚDE DOS FORNECEDORES DE CANA DE PIRACICABA E REGIÃO;SP;580057391.09;5743142.49;13568424.31
PRONTOMED PLANOS DE SAÚDE LTDA;MG;573620026.81;3798808.12;8448551.44
SUL AMÉRICA ODONTOLÓGICO S/A;SP;559561331.93;4512591.39;9742526.88
ASSOCIAÇÃO DO PLANO DE SAÚDE DA SANTA CASA DE MISERICÓRDIA DE ITABUNA - PLANSUL;BA;554771750.2;3511213.61;7995460.91
AMHE MED ASSISTENCIA A SAUDE LTDA - EPP;SP;554441764.62;7108227.75;14651876.45
UNIMED COSTA VERDE RJ;RJ;552167393.4;3408440.7;7748002.95
UNIMED ITAÚNA COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;548185713.26;1986180.12;5612153.9
ASSOCIAÇÃO MINEIRA DE ASSISTÊNCIA À SAÚDE DOS MEMBROS DO MINISTÉRIO PÚBLICO;MG;547491024.15;18249700.8;18168107.24
UNIMED ITUIUTABA COOPERATIVA TRABALHO MÉDICO LTDA.;MG;545081124.58;2339403.97;6361503.16
UNIMED NOROESTE FLUMINENSE - COOPERATIVA DE TRABALHO MÉDICO LTDA;RJ;536856317.35;4970891.83;9227072.19
SANTA CASA DE MISERICORDIA DE SAO JOAQUIM DA BARRA;SP;536767627.77;3753619.77;8529871.77
ELETROS SAÚDE - ASSOCIAÇÃO DE ASSISTÊNCIA À SAÚDE;RJ;535190236.94;3387279.98;8701979.78
PLADISA PLANOS DE SAÚDE SA;SC;532657749.81;3916601.1;9546845.84
UNIMED GUAXUPÉ COOPERATIVA DE TRABALHO MEDICO;MG;527904132.54;2062125.52;5328308.07
UNIMED ALTO DA SERRA - SOCIEDADE COOPERATIVA DE SERVIÇO MÉDICO LTDA.;RS;527764215.71;2477766.27;5715192.91
FEDERAÇÃO DAS SOCIEDADES COOPERATIVAS DE TRABALHO MÉDICO DO ACRE, AMAPÁ, AMAZONAS, PARÁ, RONDONIA E RORAIMA;AM;526492242.59;11201962.61;24257165.91
COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;SC;526210073.83;1486469.14;4148351.14
UNIMED SÃO LOURENÇO COOPERATIVA DE TRABALHO MÉDICO;MG;525177915.92;2152368.51;5950894.79
FUNDAÇÃO LIBERTAS DE SEGURIDADE SOCIAL;MG;523069589.23;3932854.05;10043662.97
UNIMED DE PINDAMONHANGABA - COOPERATIVA TRABALHO MEDICO;SP;521356833.37;1829322.22;5515680.55
AMHA SAUDE S/A;SP;520859853.43;4735089.58;11835424.33
COOPERATIVA DE TRABALHO MÉDICO DO PLANALTO NORTE DE SANTA CATARINA LTDA;SC;518746259.37;1826571.34;5249290.8
ÚNICA ASSISTENCIA MEDICA LTDA ;SP;516193588.76;8193549.03;13146985.05
UNIMED NORTE PAULISTA - COOPERATIVA DE TRABALHO MÉDICO;SP;515371962.78;2129636.21;6240058.14
ASSOCIAÇÃO MAIS SAÚDE SANTA CASA DE SÃO JOÃO DA BOA VISTA;SP;512719677.79;5178986.64;11575401.11
SAMOC S.A. - SOCIEDADE ASSISTENCIAL MÉDICA E ODONTO CIRÚRGICA;RJ;510200117.84;4768225.4;9262827.29
INSTITUIÇÃO BENEFICENTE CEL MASSOT - IBCM;RS;505646950.61;4861989.91;10160791.38
CAIXA DE ASSISTÊNCIA À SAÚDE DO SINDICATO DOS FUNCIONÁRIOS INTEGRANTES DO GRUPO OCUPACIONAL ADMINISTRAÇÃO TRIBUTÁRIA DO ESTADO DE PERNAMBUCO;PE;504568930.22;5799642.88;12702742.49
COOPERATIVA DE TRABALHO MEDICO DE ARAGUAÍNA - UNIMED ARAGUAÍNA;TO;502199429.28;1224876.66;3900788.26
UNIMED DE BIRIGUI - COOPERATIVA DE TRABALHO MÉDICO;SP;496782053.0;1896114.71;5268100.54
SAÚDE BRASIL ASSISTÊNCIA MÉDICA LTDA.;SP;490148542.8;5766453.44;7656489.63
AMAZÔNIA PLANOS DE SAÚDE LTDA;PA;485743106.15;5167479.85;10944287.03
UNIMED DE TAUBATÉ COOPERATIVA DE TRABALHO MÉDICO;SP;481278829.04;2270183.16;5366758.17
UNIMED PATROCÍNIO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;480624727.23;3080927.74;6454375.57
UNIMED DE AVARÉ COOPERATIVA DE TRABALHO MÉDICO;SP;478334271.41;2224810.56;5300692.16
ASSOCIAÇÃO SAÚDE SÃO JOSÉ;SC;473086128.93;3052168.57;7324573.96
UNIMED DE LORENA COOPERATIVA DE TRABALHO MÉDICO;SP;471841271.57;2407353.43;5936069.29
UNIMED VALE DO JAURU COOPERATIVA DE TRABALHO MÉDICO;MT;465571264.16;2327856.32;5945912.32
ASSOCIAÇÃO SÃO LUIZ SAÚDE;SP;463838916.44;5041727.35;11444722.95
UNIMED DE BARRETOS COOPERATIVA DE TRABALHO MÉDICO;SP;460575350.87;3437129.48;7666531.22
UNIMED ALTO SÃO FRANCISCO COOPERATIVA DE TRABALHO MÉDICO;MG;460273458.21;1770282.53;4703156.2
IRMANDADE DE MISERICÓRDIA DO HOSPITAL DA SANTA CASA DE MONTE ALTO;SP;458057872.38;4126647.5;8604044.88
UNIMED NORTE DO PARANÁ COOPERATIVA REGIONAL DE TRABALHO MÉDICO;PR;452440855.19;1831744.35;3944498.02
DENTAL UNI - COOPERATIVA ODONTOLÓGICA;PR;446469200.65;7086812.71;11169039.4
ANAFE SAUDE;GO;444723721.7;4447237.22;9493249.78
UNIMED-RIO COOPERATIVA DE TRABALHO MEDICO DO RIO DE JANEIRO;RJ;438286071.6;27392879.48;31307801.13
UNITY SERVIÇOS INTEGRADOS DE SAÚDE LTDA.;DF;435506272.01;4733763.83;9003110.97
CAIXA DE ASSISTÊNCIA AOS MEMBROS DA DEFENSORIA PÚBLICA DO ESTADO DO RIO DE JANEIRO;RJ;433694408.1;4517650.08;7490555.3
UNIMED DE CAPIVARI -COOPERATIVA DE TRABALHO MÉDICO;SP;422177469.47;1563620.26;4827254.55
IRMANDADE DA SANTA CASA DE MISERICÓRDIA DE PASSOS;MG;420399741.01;2859862.18;7242062.43
UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;414042335.38;2365956.2;4656606.15
IRMANDADE DE MISERICORDIA DE PORTO FERREIRA;SP;407101463.02;5025943.99;10181377.27
UNIMED SÃO SEBASTIÃO DO PARAÍSO COOPERATIVA DE TRABALHO MÉDICO;MG;401524076.11;2027899.37;3529308.77
UNIMED CATAGUASES COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;392816605.92;1418110.49;3923639.18
UNIMED DE TUPA COOPERATIVA DE TRABALHO MÉDICO;SP;385013043.72;1718808.23;4853340.66
SANTA CASA DE MISERICÓRDIA DE VOTUPORANGA;SP;382657181.56;3510616.34;6736388.27
OPERADORA DE PLANOS PRIVADOS DE SAÚDE - SANTA CASA SAÚDE LTDA;MS;379328420.85;3059100.17;6454965.48
CONFERÊNCIA SÃO JOSÉ DO AVAÍ;RJ;376996691.8;3366041.89;6570717.96
INTERMEDICI PIRACICABA ASSISTENCIA MEDICA LTDA;SP;376146993.0;2807067.11;6654110.16
UNIMED VIÇOSA - COOPERATIVA DE TRABALHO MÉDICO;MG;372313716.94;1715731.41;4643297.32
UNIMED DE MINEIROS COOPERATIVA DE TRABALHO MÉDICO ;GO;369301954.36;1903618.32;4809456.92
UNIMED DE UBA COOPERATIVA DE TRABALHO MEDICO;MG;368991588.4;1618384.16;4377690.42
CAIXA DE ASSISTÊNCIA DOS MAGISTRADOS DE PERNAMBUCO;PE;360534293.62;3004452.45;6542273.86
UNIMED TRÊS CORAÇÕES COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;357362117.32;1726387.04;4126698.6
ASSOCIAÇÃO PARANAENSE DE ASSISTÊNCIA À SAUDE DOS MEMBROS DO MINISTERIO PUBLICO DO PARANÁ;PR;353640282.18;3929336.47;6783733.72
UNIMED CARATINGA - COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;349197172.03;2282334.46;4556066.04
UNIMED NOROESTE DE MINAS COOPERATIVA DE TRABALHO MEDICO LTDA;MG;346137148.36;1705109.11;4056109.6
FUNDAÇÃO FILANTRÓPICA E BENEFICENTE DE SAÚDE ARNALDO GAVAZZA FILHO;MG;331796611.97;2211977.41;4974617.95
UNIMED PLANALTO CENTRAL/RS - COOPERATIVA DE ASSISTÊNCIA  À SAÚDE LTDA.;RS;324347516.46;1864066.19;4112713.33
UNIMED ALFENAS COOPERATIVA DE TRABALHO MEDICO;MG;321383857.29;1656617.82;3977707.54
UNIODONTO DE SÃO JOSÉ DOS CAMPOS COOPERATIVA DE TRABALHO ODONTOLÓGICO;SP;319522156.17;5605651.86;7979771.58
PRONTOCLINICA E HOSPITAIS SAO LUCAS S/A;MG;316670121.51;1930915.38;3873114.96
UNIMED VALE DO PIQUIRI-COOPERATIVA DE TRABALHO MÉDICO VALE DO PIQUIRI ;PR;315988528.41;1869754.61;4543450.42
BRASILDENTAL OPERADORA DE PLANOS ODONTOLÓGICOS S.A.;SP;310654901.3;5177581.69;8478012.23
AMPARA ASSISTÊNCIA MÉDICA PARAÍSO LTDA;MG;309897884.88;2365632.71;5327136.81
FUNDAÇÃO FIAT SAÚDE E BEM ESTAR;MG;308851967.07;12868831.96;21650814.98
UNIMED REGIÃO DA CAMPANHA/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;299759788.09;1332265.72;3625874.5
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANEB;BA;295680720.79;3145539.58;4801129.86
FUNDAÇÃO DE ASSISTÊNCIA À SAÚDE DA ASSOCIAÇÃO DO MINISTÉRIO PÚBLICO DO RIO GRANDE DO SUL;RS;292409993.2;4430454.44;7299018.9
UNIMED DE SAO JOSÉ DO RIO PARDO-COOP. DE TRAB. MÉDICO;SP;290212496.41;2359451.19;4674760.4
ASSOCIAÇÃO FCA SAÚDE;MG;287504747.73;6534198.81;16290639.83
UNIMED SUDOESTE DE MINAS COOPERATIVA DE TRABALHO MÉDICO;MG;284889644.21;1591562.26;3667694.87
UNIMED LEOPOLDINA COOPERATIVA DE TRABALHO MÉDICO LTDA;MG;283255595.82;1940106.82;4440831.81
PREVIDENT ASSISTÊNCIA ODONTOLÓGICA S.A;SP;281730409.03;5217229.8;7919410.4
ASSOCIAÇÃO PLANO DE SAÚDE SANTA CASA DE VALINHOS;SP;276097842.96;3001063.51;6227293.53
UNIMED DE DRACENA - COOPERATIVA DE TRABALHO MÉDICO;SP;271598643.92;1065092.72;2913118.11
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE RIBEIRÃO PRETO (APAS);SP;270985781.68;2913825.61;5925523.95
PLAMER PLANO MEDICO RESENDE LTDA;RJ;267142212.69;2343352.74;5138768.59
SOCIEDADE BENEFICENTE DEZOITO DE JULHO;MG;262106242.46;3798641.2;6475651.48
ASSOCIACAO DOS PROFESSORES UNIVERSITÁRIOS DA BAHIA;BA;258898107.38;2397204.7;5231659.26
IRMANDADE DA SANTA CASA DE MISERICÓRDIA E MATERNIDADE DONA ZILDA SALVAGNI;SP;253729827.27;3524025.38;6134924.49
ATÍVIA SERVIÇOS DE SAÚDE S/A;SP;252357665.89;3077532.51;4161137.43
UNIODONTO BELÉM - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA;PA;251492759.05;3492954.99;5571170.01
ASSOCIAÇÃO DOS EMPREGADOS DA COMPANHIA ESTADUAL DE HABITAÇÃO E OBRAS PÚBLICAS - ASSEC;SE;247014351.19;3800220.79;6604397.88
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO BANESE;SE;246144556.77;3155699.45;5755544.96
UNIMED DE REGISTRO COOPERATIVA DE TRABALHO MÉDICO;SP;242514885.17;3674467.96;6108773.71
UNIMED DE MONTE ALTO - COOPERATIVA DE TRABALHO MÉDICO;SP;240857437.52;1627415.12;3866953.71
UNIMED TRÊS PONTAS - COOPERATIVA DE TRABALHO MÉDICO;MG;239448201.33;1073758.75;2983339.02
UNIX SAÚDE S.A;BA;235970170.51;2016839.06;3538972.4
UNIMED REGIONAL DE FLORIANO - COOPERATIVA DE TRABALHO MÉDICO;PI;233747731.33;2032588.97;3936321.82
ASSOCIAÇÃO DOS AUDITORES FISCAIS DA RECEITA ESTADUAL DO RIO DE JANEIRO;RJ;231204061.85;5137868.04;6378103.7
TRINO - ALIANCA FILANTRÓPICA DE ASSISTÊNCIA E INTEGRAÇÃO PARA O DESENVOLVIMENTO DA SAUDE;ES;230259639.87;3243093.52;6065810.12
UNIMED REGIÃO DA FRONTEIRA - RS COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA.;RS;230012713.81;1345103.59;3356769.82
PB ASSISTENCIA MEDICA EU LTDA;BA;222984307.28;2563038.01;4246798.23
ASSOCIAÇÃO SANTA CASA CLÍNICAS DE BIRIGUI;SP;221532185.28;2130117.17;4195007.22
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE ARAÇATUBA (APAS);SP;220083330.5;2223063.94;5015743.05
UNIMED SUDOESTE PAULISTA COOPERATIVA DE TRABALHO MÉDICO;SP;215591220.44;1290965.39;3172626.6
MAIS SAUDE S/A;ES;214382259.62;3457778.38;5730257.68
PESSOAL SAÚDE PLANOS DE ASSISTÊNCIA MÉDICA LTDA;SP;210248520.23;2841196.22;5119208.13
UNIMED ALTO JACUÍ/RS - COOPERATIVA DE ASSISTÊNCIA À SAÚDE LTDA;RS;207542677.88;886934.52;1805699.98
ASSOCIAÇÃO DOS SERVIDORES MUNICIPAIS, ESTADUAIS E FEDERAIS DO RIO DE JANEIRO;RJ;204300964.14;2724012.86;4128589.24
SANTA CASA DE MISERICORDIA HOSPITAL SÃO VICENTE;SP;200503208.93;1891539.71;4448611.5
AME VVIDA PLANOS DE SAUDE INTEGRADO LTDA.;RO;192745775.44;3212429.59;5011734.66
SOCIEDADE PORTUGUESA DE BENEFICÊNCIA;RS;185520217.56;1394888.85;3112964.36
UNIMED DE JATAÍ COOPERATIVA DE TRABALHO MÉDICO LTDA.;GO;183000303.98;571875.95;1458854.62
UNIODONTO DE FORTALEZA COOPERATIVA DE TRABALHO ODONTOLOGICO LTDA;CE;181608551.06;3243009.84;4985148.94
SANTA CASA DE MISERICÓRDIA E BENEFICÊNCIA PORTUGUESA;SP;177810972.99;2195197.2;4086734.03
SANTA CASA DE SAÚDE - SCS;ES;171453304.95;1714533.05;3357234.53
DESBAN - FUNDAÇÃO BDMG DE SEGURIDADE SOCIAL;MG;167510918.41;1298534.25;3267126.45
UNIMED DO OESTE DA BAHIA COOPERATIVA DE TRABALHO MÉDICO;BA;164675408.28;1892820.78;2471213.45
UNIODONTO PORTO ALEGRE COOPERATIVA ODONTOLOGICA LTDA;RS;164101645.34;3038919.36;4498943.63
HOSPITAL DE PRONTOCLINICA LTDA.;RS;161393396.1;1613933.96;3060052.34
UNIODONTO REGIONAL COOPERATIVA ODONTOLOGICA;MG;157597642.9;2101301.91;3897888.87
UNIODONTO PIRACICABA - COOPERATIVA ODONTOLÓGICA;SP;157316395.93;2537361.22;4278723.56
UNIMED SÃO JOÃO NEPOMUCENO COOPERATIVA DE TRABALHO MÉDICO LTDA.;MG;155080924.79;1211569.72;2488805.95
ATITUDE SAÚDE ASSISTÊNCIA MEDICA LTDA;BA;154678182.61;2178565.95;3674692.66
UNIODONTO MACEIÓ COOPERATIVA ODONTOLÓGICA;AL;153477796.02;5684362.82;5793089.6
AURORA SAÚDE LTDA;MG;153173451.81;1891030.27;3174279.86
UNIMED MACHADO COOPERATIVA DE TRABALHO MEDICO;MG;153093603.23;981369.25;2087780.46
UNIMED VALE DO CARANGOLA COOPERATIVA DE TRABALHO MEDICO LTDA;MG;152569697.7;1210870.62;2298607.23
COOPERATIVA DOS USUÁRIOS DE SERVIÇOS DE SAÚDE DO VALE DO RIO DOS SINOS LTDA;RS;148015919.47;2145158.25;3929533.63
VIDA TOP MAIS SAÚDE OPERADORA DE PLANOS DE SAÚDE LTDA.;SP;142079800.07;1246314.04;2818094.64
ASSOCIAÇAO UNISAUDE MARAU;RS;139663310.11;1454826.15;2686231.62
ASSOCIAÇÃO DO FISCO DE ALAGOAS;AL;138145223.26;1726815.29;4238278.17
SUL DO PARÁ LTDA;PA;136406824.75;2393102.19;2800621.74
RIO DOCE SAÚDE;ES;135702586.96;1304832.57;2817644.22
ON MED ASSISTÊNCIA MÉDICA LTDA;RS;132779547.79;1383120.29;2808380.29
TOTAL ASSISTÊNCIA MÉDICA HOSPITALAR LTDA;MG;121674120.49;2295738.12;2903119.28
UNIMED REGIONAL DE PICOS - COOPERATIVA DE TRABALHO MÉDICO;PI;116594384.98;2429049.69;3492751.01
ODONTO EMPRESAS CONVENIOS DENTARIOS LTDA.;SP;116541554.14;2285128.51;3117547.34
R.M.I. OPERADORA DE SAÚDE INTEGRADA LTDA;SP;116122486.11;3055854.9;4588378.28
FUNDAÇÃO PLAMHUV - PLANO MÉDICO HOSPITALAR DOS HOSPITAIS UNIDOS DE VIÇOSA;MG;112853407.39;854950.06;2007874.36
UNIODONTO DE JOÃO PESSOA COOPERATIVA ODONTOLÓGICA;PB;111511333.34;2065024.69;3308343.63
UNIMED SOUSA - COOPERATIVA DE TRABALHO MÉDICO;PB;106894441.75;1068944.42;1844265.29
HOSPITAL CESAR LEITE;MG;104823058.61;988896.78;1808916.99
UNIODONTO DO BRASIL CENTRAL NACIONAL DAS COOPERATIVAS ODONTÓLOGICAS;SP;102882014.41;1804947.62;2524100.72
CAIXA DE ASSISTÊNCIA À SAÚDE DOS TRABALHADORES NAS INDÚSTRIAS METALÚRGICAS, MECÂNICAS E DO MATERIAL ELÉTRICO DE BRUSQUE;SC;101016389.86;1346885.2;2542657.76
OPLAN SAÚDE OPERADORA DE PLANO DE SAÚDE LTDA;RJ;100925105.49;870044.01;1717411.45
ASSOCIACAO DE SAUDE HOLAMBRA;SP;99473224.19;2368410.1;3410116.38
UNIMED CAMPO BELO- COOPERATIVA DE TRABALHO MÉDICO;MG;98100789.77;469381.77;1026620.22
ASSOCIAÇÃO BENEFICENTE CATÓLICA;MG;98053737.77;797184.86;1454533.39
UNIODONTO PAULISTA-FEDERAÇÃO DAS COOPERATIVAS ODONTOLÓGICAS DO ESTADO DE SÃO PAULO;SP;94660625.45;2014055.86;2322878.18
SISTEMA TOTAL DE SAÚDE LTDA.;SP;92689250.29;1018563.19;1934640.54
UNIODONTO DE MANAUS - COOPERATIVA ODONTOLÓGICA LTDA.;AM;91156786.67;1321112.85;2226971.54
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA À SAUDE DE SAO JOAO DA BOA VISTA;SP;88862291.5;1184830.55;2305354.85
AME-ASSISTÊNCIA MÉDICA A EMPRESAS LTDA;MG;87891138.96;853312.03;1626712.32
MEDGOLD ASSISTENCIA MEDICA LTDA - ME;MG;87618550.43;768583.78;1271426.54
PORTOMED - PORTO SEGURO SERVIÇOS DE SAUDE LTDA;SP;84390518.34;843905.18;1735221.16
PRONTO SOCORRO CONDE DE MOREIRA LIMA;SP;83678906.84;589288.08;1242776.09
PLAMESC PLANOS DE SAÚDE LTDA;RJ;81406175.65;935703.17;1699151.86
ASSOCIACAO POLICIAL DE ASSISTENCIA A SAUDE DE ITAPETININGA;SP;78429179.74;676113.62;1471847.74
UNIODONTO DE AMERICANA COOPERATIVA ODONTOLÓGICA;SP;78340886.51;1305681.44;1841963.78
VOCÊ TOTAL PLANOS DE SAÚDE LIMITADA;SP;76686873.84;1111403.97;1920513.44
SANTA CASA DE MISERICÓRDIA DE TUPÃ;SP;74640525.49;1051275.01;1787784.07
CEAM BRASIL - PLANOS DE SAÚDE LTDA;MG;74420720.76;2126306.31;2255094.48
UNIMED DE BATATAIS - COOPERATIVA DE TRABALHO MÉDICO;SP;72929379.7;602722.15;981954.79
COMSEDER - COOPERATIVA DE ASSISTÊNCIA MÉDICA DOS SERVIDORES DA SUPLAN E DO DER LTDA;PB;72521135.25;1272300.62;1880726.73
ASSOCIACAO CIVIL PRÓ-SAÚDE DOS SERVIDORES DA UNIVERSIDADE ESTADUAL DE PONTA GROSSA;PR;71758200.47;1435164.01;2245544.7
ASSOCIAÇÃO UNIVIDA SANTA RITA DO PASSA QUATRO;SP;71470313.66;667946.86;1453786.61
DONA SAÚDE CLINICAS LTDA ;SP;65673368.11;1010359.51;1439833.91
UNIODONTO UBERABA - COOPERATIVA DE ASSISTÊNCIA À SAÚDE ODONTOLÓGICA LTDA;MG;65128624.11;1163011.14;1788079.84
S1 OPERADORA DE PLANO DE SAÚDE LTDA;DF;64259128.76;747199.17;1526976.66
TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;RJ;61467003.38;2561125.14;2474382.47
PLENUM ASSISTENCIA MEDICA  LTDA;DF;61218573.29;2186377.62;2333258.48
FUNDO DE ASSISTÊNCIA MÉDICO-HOSPITALAR DO MINISTÉRIO PÚBLICO;MS;59437418.25;928709.66;1452012.22
CAIXA BENEFICENTE DOS FUNCIONÁRIOS DO GRUPO IGUAÇU;PR;57643956.21;711653.78;1357108.72
UNIODONTO DE SOROCABA COOPERATIVA ODONTOLÓGICA;SP;57589743.6;1066476.73;1651991.38
PERSONAL CARE OPERADORA DE SAÚDE SA;SP;56350974.71;1083672.59;1628495.85
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE BARRETOS;SP;55843251.31;1163401.07;1704669.05
CARING SAÚDE ASSISTÊNCIA MÉDICA LTDA.;RJ;54216826.86;1390175.05;1703292.37
UNIODONTO DE ARARAQUARA COOPERATIVA ODONTOLÓGICA;SP;53797413.37;978134.79;1487231.55
UNIODONTO DO SUL GOIANO COOPERATIVA ODONTOLOGICA;GO;51663833.13;1230091.27;1526094.01
UNIODONTO DE JUNDIAÍ COOPERATIVA ODONTOLÓGICA;SP;51269536.85;854492.28;1217407.26
CAMIM OPERADORA DE PLANO DE SAÚDE LTDA;RJ;50595767.97;887645.05;1031342.21
SAMIG - SERV. DE ASSISTENCIA MEDICA DA ILHA DO GOVERNADOR LTDA;RJ;48890613.37;679036.3;837405.47
ASSOCIAÇÃO DOS SERVIDORES PÚBLICOS DA ADMINISTRAÇÃO DIRETA DO GOVERNO DO ESTADO DO PARÁ - ASPARÁ;PA;46840975.74;836446.0;1417762.46
PLANO DE ASSISTÊNCIA MÉDICA MINEIRA LTDA;MG;46378825.07;572578.09;781745.36
ASSOCIAÇÃO HOSPITAL SAÚDE DE VARGEM GRANDE DO SUL;SP;45722908.21;635040.39;1125239.17
PRESERVE SAUDE ASSISTENCIA MEDICA LTDA;BA;43611238.12;363426.98;868487.23
SD-M OPERADORA DE PLANOS DE SAUDE LTDA;RJ;43049475.9;878560.73;1078782.25
VALE PLANOS DE SAÚDE LTDA;PE;42265403.93;960577.36;1099705.72
ASSOCIAÇÃO SAÚDE RURAL ALEGRETE;RS;41470553.5;476673.03;974060.56
ASSOCIAÇÃO POLICIAL DE ASSISTÊNCIA À SAÚDE DE JAÚ;SP;40471495.22;396779.36;797463.58
CAIXA DE ASSISTÊNCIA DOS EMPREGADOS DO SETOR PÚBLICO DO ESTADO DE GOIÁS - CAEME;GO;40143859.47;514664.86;1011440.25
UNIODONTO DE LONDRINA COOP. ODONTOLÓGICA;PR;39664374.11;610221.14;944451.7
ODONT-OPERADORA ODONTOLOGICA LTDA;SP;38435265.73;610083.58;716485.87
DENTAL CENTER LTDA;PB;37880995.88;841799.91;1102743.36
ASSOCIACAO DOS SERVIDORES DA EMDAGRO - ASSEM;SE;37753569.03;572023.77;1013617.15
ASSOCIAÇÃO POLICIAL DE ASSISTENCIA A SAUDE DE BOTUCATU;SP;36787863.88;497133.3;990707.07
BENEFICENCIA SOCIAL BOM SAMARITANO;MG;35774091.86;322289.12;564773.7
SANTA CASA DE MISERICÓRDIA E ASILO DOS POBRES DE BATATAIS;SP;35021097.41;280168.78;533769.97
HSMED SAUDE LTDA;RJ;35014520.9;389050.23;593468.29
UNIVIDA USA OPERADORA EM SAUDE S/A;SP;33914323.73;869598.04;777472.09
PD BRASIL ASSISTENCIA ODONTOLOGICA LTDA;MG;32400246.04;720005.47;412255.28
UNIODONTO RS FEDERACAO DAS UNIODONTOS DO RGS LTDA;RS;31902802.39;759590.53;833084.99
ÔNIX OPERADORA DE PLANOS DE SAÚDE LTDA;RJ;31161742.83;404697.96;493041.93
YOU ASSISTÊNCIA MÉDICA LTDA.;MG;28506600.32;2036185.74;1657364.02
SALUSMED OPERADORA DE PLANOS DE SAUDE LTDA;SP;28392018.37;630933.74;816594.23
ODONTOLIVE OPERADORA DE PLANOS ODONTOLÓGICOS LTDA.;SP;27802388.7;579216.43;878505.48
ASSOC DE ASSIST À SAÚDE DOS SERV DAS UNIV E INST FED, EST E/OU FAC PART EM PE;PE;26664178.19;555503.71;709752.42
ASSOCIAÇÃO PADRE PIO PLANOS DE SAÚDE;SP;24146840.49;383283.18;630662.94
COOPERATIVA DE TRABALHO ODONTOLOGICO - UNIODONTO ITAJUBÁ;MG;23587679.87;436808.89;651732.85
