CNPJ;RazaoSocial;Trimestre;Ano;ValorDespesa;Status_Validacao;Motivo_Erro
42465310000121;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;292907.23;Valido;
42465310000121;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;199868.05;Valido;
42465310000121;TELOS - FUNDAÇÃO EMBRATEL DE SEGURIDADE SOCIAL;1;2025;199868.05;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;25535.0;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;124677.97;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;124876.67;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;102223.76;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;102223.76;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;102223.76;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;18995.81;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;18995.81;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;18995.81;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;3657.1;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;3657.1;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;3657.1;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;198.7;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;198.7;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;198.7;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;198.7;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;198.7;Valido;
93507895000136;POLIMÉDICA SAÚDE SOCIEDADE SIMPLES LTDA;1;2025;198.7;Valido;
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;298622.88;Valido;
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;298622.88;Valido;
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;298622.88;Valido;
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;1105380.63;Valido;
71499792000139;UNIMED VERTENTE DO CAPARAÓ - COOPERATIVA DE TRABALHO MÉDICO LTDA;1;2025;6196.96;Valido;
85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;9578642.82;Valido;
85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;10087318.51;Valido;
85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;6720140.76;Valido;
85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;6720140.76;Valido;
85246916000189;COOPERATIVA DE TRABALHO MEDICO REGIÃO DO PLANALTO SERRANO;1;2025;54581.8;Valido;
